,track_id,artists,track_name
49183,2miDOaZ3uuYy0mmNK91MoB,Wage War,Low
47665,0YKl5wq8BbvZBtgabzlc5D,Jhayco;Anuel AA,Ley Seca
47666,2e6LSOjyAy2LetfStcKVRS,Jhayco;Anuel AA,Ley Seca
47668,00PBSElFPJbnIcFS7orAm2,Jhayco,Christian Dior
47670,5gePc5Ns5P1lBhlSrItWwK,Jhayco;Ozuna,Easy - Remix
47671,1dvlY1iYFNgO7SFWRGHB3x,Wisin & Yandel,Pegao
47674,356ry72djzWnoIjOCrLS7h,Wisin & Yandel,Sexy Movimiento
47679,3sc8Faubr986Pkb27gfJat,Jhayco;J Balvin;Bad Bunny,No Me Conoce - Remix
47682,7AhSY7tH8oT0T9FpRKXl9q,Jhayco,No Me Conoce
47683,45sGF1ECh24oYcaSZ4jBxz,Jhayco;Anuel AA,Ley Seca
47685,3QFlqpEXLKXpU56dENcuiy,Don Omar,Dale Don Dale
47696,1DXSsE3plpcILNidgJ6Tq5,Paulo Londra;Ed Sheeran,Noche de Novela
47700,1A7HCMpZJkM0MciPld3ob4,Paulo Londra;Ed Sheeran,Noche de Novela
47701,1T0NvgD6SHsWLwPsK75en8,Don Omar,Guaya Guaya
47702,14KRCsp4ZjQbw60d0DKxoV,Don Omar;Sharlene Taule,Encanto
47712,63zBKEb0jpYXYrasyfGr4S,Rvssian;Future;Lil Baby,M&M
47714,1MbkGV6nl8omJ4C2IDb7ts,Chris Jedi;J Balvin;Ozuna;Arcangel,Ahora Dice
47715,75G3D1ajCgumVJ7Kun9MbC,Brytiago;Darell,Olvidando
47717,5mVW4nXaUzd8bRn0MWQb9H,Yandel;Sebastian Yatra;Manuel Turizo,En Cero
47718,6Zh8RyaIF8MsQ2os943OB7,Cali Y El Dandee,Sirena
47719,2awk2br4XeJn2L6Dl9stuj,Cali Y El Dandee;Reik,Borracho De Amor
47723,1xnaPsmJeELhPNUkY3G1Qe,Alvaro Diaz,Brilloteo
47662,09FYielISRGvCiJVplF81B,Anuel AA;KAROL G,Secreto
47725,4ay8g5sUQNTC3bsBLQJY0b,Alejo;Feid;ROBI,Pantysito
47661,3dJjsWCy6ZwMfw5NbD226G,Wisin & Yandel;Anthony Santos,Noche De Sexo
47640,6ciK3ADaV9FuTvMvDwYD6R,Feid;Maluma;Sky Rompiendo,FRESH KERIAS
47513,6DvPwsfTATS9gTdA1XdIdH,Nelly Furtado,I'm Like A Bird
47514,4Pafwz3DEfu6KTr88kDGIl,Nelly Furtado,I'm Like A Bird
47534,0cGQYL4z6BOnuGOeyJofNA,Laura Pausini,Come se non fosse stato mai amore
47536,6Bu0j4to41EYDZdcZMbQzp,Selena,Como La Flor
47538,0Wp8NuIjnSmyj34l302esP,Alvaro Soler;Nico Santos,Candela
47539,1byfhRPkrLvnQ4ib1SWNxQ,Alvaro Soler,Sofia
47540,3wtXp02KWZCqsZGWRZxNM6,Kevin Roldan,PPP
47542,2ke4FeyQ0qaTuA5muRNY2u,Alvaro Soler,El Mismo Sol
47543,5u3DLPRGQjn7hgqZUSmrdB,Alvaro Soler,La Cintura
47545,1ycasxRQuWKCs0LpIBNcw7,Kevin Roldan;Bryant Myers;Lyanno,Hasta Abajo
47546,7nE3oOOq9YVJbXhdJSO2Qf,Kevin Roldan;Wisin,Deseo
47552,5IVmvtXj1lNGd87EqzSi4Z,Mariah Angeliq;Guaynaa,Taxi
47572,5EnAvLC3Vx3Rns75y2JIRA,Chino & Nacho;Sixto Rein,Vive La Vida
47594,2z6qXWrC6LjyFimHkHBV2U,Alexis y Fido;Yandel,Te Reto
47614,2pfvK4mEji3KYxoJqEwzDV,Feid,Belixe
47626,3BK7JmX1P4GSGx5mdG3aiL,Feid,Prohibidox
47654,2qoKPCtY8GuiSIVO1t5XWB,Anuel AA;KAROL G,Secreto
26615,7pe5uLgTTJwaCkbMyJT6Qq,INXS,Elegantly Wasted
26614,5ylZg67RolznfPfjT2uE1W,The Temptations,Rudolph The Red-Nosed Reindeer - Stereo
26612,0puqSsCdrsmI3HRlpRF5SB,Kool & The Gang,Celebration
26609,2UIoxw6hFDMKN6Ueboxijb,Kool & The Gang,Get Down On It - Single Version
26607,3TvjBWbxOJSxi3qXk1zWQb,Rudimental;Jess Glynne;Macklemore;Dan Caplen,These Days
26601,1YjXQJ3GTOpwjYoewWrvou,Talking Heads,Slippery People - 2005 Remaster
26563,6d7VHiHEgXpaRBvYO6ggIR,Ice Cube,Color Blind
26562,2uqUDXhP1CQ8BfKcuk8AV6,Clean Bandit;Sean Paul;Anne-Marie,Rockabye
26561,0KiWEnqkaRBjsnOuF5w4w6,Clean Bandit;Nikki Cislyn;Javeon,Cologne
26559,0gYcGFMdgipfimvC5KvYdm,Clean Bandit;A7S,Everything but You
26549,5XRFBZNuGxgqW8mdAwUfAU,Stevie Wonder,Uptight (Everything's Alright) - Single Version
26548,2hUSKfJpP9twYacueqlzGl,Stevie Wonder,Superstition - Single Version
26546,5gR8M5w1A7AzeAGZDf1Lqf,Stevie Wonder,Saturn
26542,1je4krqWE1l0ojYvjacpxw,Stevie Wonder,Someday At Christmas
26541,6BkCJIqj5dZLlVOY3m6dSh,LUDMILLA;DJ Will22;Topo La Maskara;Mariah Angeliq;Mr. Vegas,Socadona - Funk Remix
26533,0v8tmDMQrTMavluubqAJo4,Red Hot Chili Peppers,Higher Ground - Remastered
